127.0.0.1 - - [16/Jan/2016:23:15:44 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [16/Jan/2016:23:15:45 +0800] "GET /impossibleWeb/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2016:23:15:45 +0800] "GET /impossibleWeb/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2016:23:15:45 +0800] "GET /impossibleWeb/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2016:23:15:45 +0800] "GET /impossibleWeb/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2016:23:15:45 +0800] "GET /impossibleWeb/BannerImage/Students-storyBanner1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2016:23:15:45 +0800] "GET /impossibleWeb/image/couples-counselling.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2016:23:15:45 +0800] "GET /impossibleWeb/js/navlinks.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2016:23:15:45 +0800] "GET /impossibleWeb/js/footer.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2016:23:15:45 +0800] "GET /impossibleWeb/image/family.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2016:23:15:45 +0800] "GET /impossibleWeb/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2016:23:15:45 +0800] "GET /impossibleWeb/image/individual-counselling.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2016:23:15:45 +0800] "GET /impossibleWeb/image/Family-image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2016:23:15:45 +0800] "GET /impossibleWeb/image/transition-image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2016:23:15:45 +0800] "GET /impossibleWeb/image/grief-counselling.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2016:23:15:45 +0800] "GET /impossibleWeb/js/jquery-1.10.2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2016:23:15:45 +0800] "GET /impossibleWeb/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2016:23:15:45 +0800] "GET /impossibleWeb/image/brandimage.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2016:23:15:45 +0800] "GET /impossibleWeb/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2016:23:16:23 +0800] "GET /impossibleWeb/index.jsp HTTP/1.1" 200 1358
0:0:0:0:0:0:0:1 - - [16/Jan/2016:23:16:23 +0800] "GET /impossibleWeb/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2016:23:16:24 +0800] "GET /impossibleWeb/GetMessages HTTP/1.1" 200 1378
0:0:0:0:0:0:0:1 - - [16/Jan/2016:23:16:31 +0800] "POST /impossibleWeb/InsertMessage HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [16/Jan/2016:23:25:42 +0800] "GET /impossibleWeb/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2016:23:25:58 +0800] "POST /impossibleWeb/check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jan/2016:23:25:58 +0800] "GET /impossibleWeb/adminIndex.html?IsSuccess=true HTTP/1.1" 200 3733
0:0:0:0:0:0:0:1 - - [16/Jan/2016:23:25:58 +0800] "GET /impossibleWeb/image/Courses-icon.png HTTP/1.1" 200 12398
0:0:0:0:0:0:0:1 - - [16/Jan/2016:23:25:58 +0800] "GET /impossibleWeb/image/schedule.png HTTP/1.1" 200 3498
0:0:0:0:0:0:0:1 - - [16/Jan/2016:23:25:58 +0800] "GET /impossibleWeb/js/navlinks-admin.js HTTP/1.1" 200 3373
0:0:0:0:0:0:0:1 - - [16/Jan/2016:23:25:58 +0800] "GET /impossibleWeb/image/program.jpg HTTP/1.1" 200 8055
0:0:0:0:0:0:0:1 - - [16/Jan/2016:23:25:58 +0800] "GET /impossibleWeb/image/user.jpg HTTP/1.1" 200 8698
